,Unnamed: 0,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,address,city
25,25,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,"1404, 66th Street, Harmon Tract, Berkeley, Alameda County, California, 94703, United States","['Alameda', 'Berkeley']"
26,26,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,"1404, 66th Street, Harmon Tract, Berkeley, Alameda County, California, 94703, United States","['Alameda', 'Berkeley']"
27,27,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,"1404, 66th Street, Harmon Tract, Berkeley, Alameda County, California, 94703, United States","['Alameda', 'Berkeley']"
28,28,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,"1045, Aileen Street, Golden Gate, North Oakland, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
29,29,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,"1045, Aileen Street, Golden Gate, North Oakland, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
30,30,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,"1045, Aileen Street, Golden Gate, North Oakland, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
31,31,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,"1045, Aileen Street, Golden Gate, North Oakland, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
32,32,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,"Martin Luther King Junior Way, Idora Park, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
33,33,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,"715, 40th Street, Longfellow, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
34,34,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,NEAR BAY,"715, 40th Street, Longfellow, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
35,35,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,"715, 40th Street, Longfellow, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
36,36,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY,"715, 40th Street, Longfellow, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
37,37,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,"Emery Street, East Bay Bridge Center, Emeryville, Alameda County, California, 94608, United States","['Alameda', 'Emeryville']"
38,38,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
39,39,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
40,40,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
41,41,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
42,42,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,NEAR BAY,"5321, Claremont Avenue, Temescal, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Claremont', 'Oakland']"
43,43,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY,"5321, Claremont Avenue, Temescal, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Claremont', 'Oakland']"
44,44,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
45,45,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
46,46,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
47,47,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland', 'Shafter']"
48,48,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY,"45, Randwick Avenue, Broadway Auto Row, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
49,49,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland', 'Shafter']"
50,50,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland', 'Shafter']"
51,51,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland', 'Shafter']"
52,52,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland', 'Shafter']"
53,53,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland', 'Shafter']"
54,54,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,NEAR BAY,"2801, Linden Street, Hoover-Foster, West Oakland, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
55,55,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY,"2801, Linden Street, Hoover-Foster, West Oakland, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
56,56,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY,"2801, Linden Street, Hoover-Foster, West Oakland, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
57,57,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,NEAR BAY,"2801, Linden Street, Hoover-Foster, West Oakland, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
58,58,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,"2801, Linden Street, Hoover-Foster, West Oakland, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
59,59,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,NEAR BAY,"1688, 24th Street, West Oakland, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
60,60,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY,"4070, Halleck Street, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
61,61,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,NEAR BAY,"1688, 24th Street, West Oakland, Oakland, Alameda County, California, 94608, United States","['Alameda', 'Oakland']"
62,62,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
63,63,52.0,1224.0,237.0,521.0,159.0,1.191,76100.0,NEAR BAY,"1737, 10th Street, Lower Bottoms, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
64,64,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,"1737, 10th Street, Lower Bottoms, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
65,65,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY,"1737, 10th Street, Lower Bottoms, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
66,66,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,"1737, 10th Street, Lower Bottoms, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
67,67,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY,"Magnolia Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
68,68,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY,"1737, 10th Street, Lower Bottoms, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
69,69,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
70,70,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
71,71,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
72,72,49.0,844.0,204.0,560.0,152.0,1.75,75000.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
73,73,46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
74,74,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
75,75,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland', 'San Pablo']"
76,76,36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland', 'San Pablo']"
77,77,19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland', 'San Pablo']"
78,78,23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
79,79,38.0,684.0,176.0,344.0,155.0,2.0114,131300.0,NEAR BAY,"431, Martin Luther King Junior Way, Old Oakland Historic District, Downtown Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
80,80,17.0,924.0,289.0,609.0,289.0,1.5,162500.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland', 'San Pablo']"
81,81,52.0,210.0,56.0,183.0,56.0,1.1667,112500.0,NEAR BAY,"Great Western Power Company, 520, Thomas L. Berkley Way, Uptown, Downtown Oakland, Oakland, Alameda County, California, 94612, United States","['Alameda', 'Oakland']"
82,82,52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland', 'San Pablo']"
83,83,52.0,386.0,164.0,346.0,155.0,0.8075,137500.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland', 'San Pablo']"
84,84,35.0,948.0,184.0,467.0,169.0,1.8088,118800.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland', 'San Pablo']"
85,85,52.0,773.0,143.0,377.0,115.0,2.4083,98200.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland', 'San Pablo']"
86,86,40.0,880.0,451.0,582.0,380.0,0.977,118800.0,NEAR BAY,"Great Western Power Company, 520, Thomas L. Berkley Way, Uptown, Downtown Oakland, Oakland, Alameda County, California, 94612, United States","['Alameda', 'Oakland']"
87,87,10.0,875.0,348.0,546.0,330.0,0.76,162500.0,NEAR BAY,"Great Western Power Company, 520, Thomas L. Berkley Way, Uptown, Downtown Oakland, Oakland, Alameda County, California, 94612, United States","['Alameda', 'Oakland']"
88,88,10.0,105.0,42.0,125.0,39.0,0.9722,137500.0,NEAR BAY,"Shoong Family Chinese Cultural Center, 316, 9th Street, Chinatown, Downtown Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
89,89,52.0,249.0,78.0,396.0,85.0,1.2434,500001.0,NEAR BAY,"Shoong Family Chinese Cultural Center, 316, 9th Street, Chinatown, Downtown Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
90,90,16.0,994.0,392.0,800.0,362.0,2.0938,162500.0,NEAR BAY,"Shoong Family Chinese Cultural Center, 316, 9th Street, Chinatown, Downtown Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
91,91,52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,NEAR BAY,"431, Martin Luther King Junior Way, Old Oakland Historic District, Downtown Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
92,92,52.0,96.0,31.0,191.0,34.0,0.75,162500.0,NEAR BAY,"431, Martin Luther King Junior Way, Old Oakland Historic District, Downtown Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
93,93,27.0,1055.0,347.0,718.0,302.0,2.6354,187500.0,NEAR BAY,"Eve's Waterfront, 15, Embarcadero West, Jack London Square, Downtown Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
94,94,39.0,1715.0,623.0,1327.0,467.0,1.8477,179200.0,NEAR BAY,"Shoong Family Chinese Cultural Center, 316, 9th Street, Chinatown, Downtown Oakland, Oakland, Alameda County, California, 94607, United States","['Alameda', 'Oakland']"
95,95,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0,NEAR BAY,"Lake Merritt Amphitheater, Channel Path, Eastlake, Downtown Oakland, Oakland, Alameda County, California, 94606, United States","['Alameda', 'Oakland']"
96,96,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY,"45, Randwick Avenue, Broadway Auto Row, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
97,97,29.0,335.0,107.0,202.0,91.0,2.0062,125000.0,NEAR BAY,"230, Grand Avenue, Adams Point, Downtown Oakland, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
98,98,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY,"45, Randwick Avenue, Broadway Auto Row, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
99,99,37.0,3633.0,1085.0,1838.0,980.0,2.6104,193100.0,NEAR BAY,"45, Randwick Avenue, Broadway Auto Row, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
100,100,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,257800.0,NEAR BAY,"431, Lagunitas Avenue, Grand Lake, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
101,101,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,273400.0,NEAR BAY,"431, Lagunitas Avenue, Grand Lake, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
102,102,39.0,854.0,242.0,389.0,228.0,3.125,237500.0,NEAR BAY,"431, Lagunitas Avenue, Grand Lake, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
103,103,52.0,2155.0,701.0,895.0,613.0,2.5795,350000.0,NEAR BAY,"431, Lagunitas Avenue, Grand Lake, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
104,104,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,NEAR BAY,"230, Grand Avenue, Adams Point, Downtown Oakland, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
105,105,52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0,NEAR BAY,"114, Magnolia Avenue, Piedmont, Alameda County, California, 94610, United States","['Alameda', 'Piedmont']"
106,106,52.0,2026.0,482.0,709.0,456.0,3.2727,268500.0,NEAR BAY,"690, Longridge Road, Lakeshore, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
107,107,52.0,1758.0,460.0,686.0,422.0,3.1691,259400.0,NEAR BAY,"431, Lagunitas Avenue, Grand Lake, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
108,108,52.0,3481.0,751.0,1444.0,718.0,3.9,275700.0,NEAR BAY,"114, Magnolia Avenue, Piedmont, Alameda County, California, 94610, United States","['Alameda', 'Piedmont']"
109,109,28.0,3337.0,855.0,1520.0,802.0,3.9063,225000.0,NEAR BAY,"612, Mariposa Avenue, Harrison/Oakland, North Oakland, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
110,110,52.0,1424.0,289.0,550.0,253.0,5.0917,262500.0,NEAR BAY,"612, Mariposa Avenue, Harrison/Oakland, North Oakland, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
111,111,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,218500.0,NEAR BAY,"612, Mariposa Avenue, Harrison/Oakland, North Oakland, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
112,112,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,255000.0,NEAR BAY,"612, Mariposa Avenue, Harrison/Oakland, North Oakland, Oakland, Alameda County, California, 94610, United States","['Alameda', 'Oakland']"
113,113,52.0,2376.0,559.0,939.0,519.0,3.1484,224100.0,NEAR BAY,"190, John Street, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland', 'Piedmont']"
114,114,35.0,1613.0,428.0,675.0,422.0,3.4722,243100.0,NEAR BAY,"190, John Street, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland', 'Piedmont']"
115,115,52.0,1279.0,287.0,534.0,291.0,3.1429,231600.0,NEAR BAY,"190, John Street, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland', 'Piedmont']"
116,116,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,218500.0,NEAR BAY,"190, John Street, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland', 'Piedmont']"
117,117,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,234100.0,NEAR BAY,"190, John Street, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland', 'Piedmont']"
118,118,50.0,2515.0,399.0,970.0,373.0,5.8596,327600.0,NEAR BAY,"241, Florence Avenue, Upper Rockridge, Oakland, Alameda County, California, 94618, United States","['Alameda', 'Oakland']"
119,119,47.0,3175.0,454.0,1098.0,485.0,5.2868,347600.0,NEAR BAY,"241, Florence Avenue, Upper Rockridge, Oakland, Alameda County, California, 94618, United States","['Alameda', 'Oakland']"
120,120,41.0,2576.0,406.0,794.0,376.0,5.956,366100.0,NEAR BAY,"161, Ronada Avenue, Piedmont, Alameda County, California, 94611, United States","['Alameda', 'Piedmont']"
121,121,37.0,334.0,54.0,98.0,47.0,4.9643,335000.0,NEAR BAY,"Grove Shafter Freeway, Upper Rockridge, Oakland, Alameda County, California, 94618, United States","['Alameda', 'Oakland', 'Shafter']"
122,122,52.0,2800.0,411.0,1061.0,403.0,6.3434,373600.0,NEAR BAY,"Warren Freeway, Upper Rockridge, Oakland, Alameda County, California, 94618, United States","['Alameda', 'Oakland']"
123,123,52.0,3529.0,574.0,1177.0,555.0,5.1773,389500.0,NEAR BAY,"Claremont Country Club, 5295, View Place, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94618, United States","['Alameda', 'Claremont', 'Oakland', 'Piedmont']"
124,124,52.0,2612.0,365.0,901.0,367.0,7.2354,391100.0,NEAR BAY,"Grove Shafter Freeway, Upper Rockridge, Oakland, Alameda County, California, 94618, United States","['Alameda', 'Oakland', 'Shafter']"
125,125,28.0,5287.0,1048.0,2031.0,956.0,5.457,337300.0,NEAR BAY,"Caldecott Flow, Oakland, Alameda County, California, 94618, United States","['Alameda', 'Oakland']"
126,126,50.0,2935.0,473.0,1031.0,479.0,7.5,295200.0,NEAR BAY,"6925, Broadway Terrace, Oakland, Alameda County, California, 94618, United States","['Alameda', 'Oakland']"
127,127,44.0,3424.0,597.0,1358.0,597.0,6.0194,292300.0,NEAR BAY,"6123, Thornhill Drive, Oakland, Alameda County, California, 94611, United States","['Alameda', 'Oakland']"
128,128,40.0,4991.0,674.0,1616.0,654.0,7.5544,411500.0,NEAR BAY,"1816, Magellan Drive, Montclair, Oakland, Alameda County, California, 94611, United States","['Alameda', 'Montclair', 'Oakland']"
129,129,30.0,2211.0,346.0,844.0,343.0,6.0666,311500.0,NEAR BAY,"6519, Oakwood Drive, Oakland, Alameda County, California, 94611, United States","['Alameda', 'Oakland']"
130,130,34.0,3038.0,490.0,1140.0,496.0,7.0548,325900.0,NEAR BAY,"6123, Thornhill Drive, Oakland, Alameda County, California, 94611, United States","['Alameda', 'Oakland']"
131,131,18.0,1617.0,210.0,533.0,194.0,11.6017,392600.0,NEAR BAY,"Upper Huckleberry Loop Trail, Contra Costa County, California, 94516, United States",[]
132,132,35.0,2865.0,460.0,1072.0,443.0,7.4882,319300.0,NEAR BAY,"6519, Oakwood Drive, Oakland, Alameda County, California, 94611, United States","['Alameda', 'Oakland']"
